seller_id,items,late_pct,avg_delay_late,avg_review,revenue,state,quadrant,r_late,r_delay,r_review,r_vol,risk_score,risk_band
0015a82c2db000af6aaaf3ae2ecb0532,3,0.0,0.0,3.667,2748.06,SP,4_Maintain,0.0,0.0,0.333,0.1,10.341,Low
001cca7ae9ae17fb1caed9dfb1094831,234,5.556,11.872,3.965,33142.9,ES,1_Strategic_Partner,0.056,0.071,0.259,0.69,23.63,Low
002100f778ceb8431b7a1020ff7ab48f,54,16.667,8.253,4.037,1995.16,SP,2_Fix_Immediately,0.167,0.049,0.241,0.48,22.434,Low
003554e2dce176b5555353e4f3555ac8,1,0.0,0.0,5.0,139.38,GO,4_Maintain,0.0,0.0,0.0,0.0,0.0,Low
004c9cd9d87a3c30c522c48c4fc07416,168,7.738,8.913,4.157,23094.02,SP,1_Strategic_Partner,0.077,0.053,0.211,0.642,21.891,Low
00720abe85ba0859807595bbf045a33b,26,7.692,10.243,3.654,1323.48,SP,1_Strategic_Partner,0.077,0.061,0.337,0.377,19.865,Low
00ab3eff1b5192e5f1a63bcecfee11c8,1,0.0,0.0,5.0,110.08,SP,4_Maintain,0.0,0.0,0.0,0.0,0.0,Low
00d8b143d12632bad99c0ad66ad52825,1,0.0,0.0,5.0,137.1,MG,4_Maintain,0.0,0.0,0.0,0.0,0.0,Low
00ee68308b45bc5e2660cd833c3f81cc,172,8.14,9.463,4.327,23440.66,SP,2_Fix_Immediately,0.081,0.056,0.168,0.646,21.097,Low
00fc707aaaad2d31347cf883cd2dfe10,135,4.444,6.4,3.791,14969.99,PR,1_Strategic_Partner,0.044,0.038,0.302,0.611,22.094,Low
010543a62bd80aa422851e79a3bc7540,2,0.0,0.0,4.5,1447.95,SP,4_Maintain,0.0,0.0,0.125,0.059,4.299,Low
010da0602d7774602cd1b3f5fb7b709e,5,0.0,0.0,1.0,1079.75,SP,4_Maintain,0.0,0.0,1.0,0.159,28.181,Medium
011b0eaba87386a2ae96a7d32bb531d1,2,0.0,0.0,4.0,129.16,SP,4_Maintain,0.0,0.0,0.25,0.059,7.424,Low
01266d4c46afa519678d16a8b683d325,3,0.0,0.0,5.0,137.48,PR,4_Maintain,0.0,0.0,0.0,0.1,2.007,Low
013900e863eace745d3ec7614cab5b1a,26,0.0,0.0,4.731,2089.37,PR,1_Strategic_Partner,0.0,0.0,0.067,0.377,9.22,Low
014c0679dd340a0e338872e7ec85666a,15,13.333,6.955,3.667,7686.31,MG,2_Fix_Immediately,0.133,0.041,0.333,0.301,19.851,Low
014d9a685fd57276679edd00e07089e5,12,0.0,0.0,3.833,876.81,PR,1_Strategic_Partner,0.0,0.0,0.292,0.271,12.712,Low
0176f73cc1195f367f7b32db1e5b3aa8,38,10.526,16.593,4.053,5915.27,SP,2_Fix_Immediately,0.105,0.099,0.237,0.43,20.186,Low
01bcc9d254a0143f0ce9791b960b2a47,10,0.0,0.0,4.4,1644.69,GO,1_Strategic_Partner,0.0,0.0,0.15,0.247,8.687,Low
01c97ebb5cdac52891c0ed1c37ba0012,12,0.0,0.0,4.083,756.0,SP,1_Strategic_Partner,0.0,0.0,0.229,0.271,11.15,Low
01cf7e3d21494c41fb86034f2e714fa1,65,4.615,12.823,4.188,11404.01,PR,1_Strategic_Partner,0.046,0.076,0.203,0.506,18.348,Low
01ed254b9ff8407dfb9d99ba1e17d923,5,0.0,0.0,5.0,1533.71,SP,4_Maintain,0.0,0.0,0.0,0.159,3.181,Low
01fd077212124329bac32490e8ef80d9,39,2.564,9.939,4.308,1783.36,SP,1_Strategic_Partner,0.026,0.059,0.173,0.434,15.085,Low
01fdefa7697d26ad920e9e0346d4bd1b,130,6.154,5.362,4.372,17532.79,PR,1_Strategic_Partner,0.062,0.032,0.157,0.606,18.829,Low
0241d4d5d36f10f80c644447315af0bd,246,5.691,7.656,4.306,38251.61,PR,1_Strategic_Partner,0.057,0.046,0.173,0.697,21.189,Low
0249d282d911d23cb8b869ab49c99f53,11,18.182,6.753,4.273,531.88,SP,2_Fix_Immediately,0.182,0.04,0.182,0.259,16.903,Low
024b564ae893ce8e9bfa02c10a401ece,8,0.0,0.0,4.75,918.4,SP,1_Strategic_Partner,0.0,0.0,0.062,0.218,5.918,Low
028872bfa080090a9d0abd4f1af168f8,3,0.0,0.0,5.0,117.87,MG,4_Maintain,0.0,0.0,0.0,0.1,2.007,Low
02b72cdeb9cfcc429f1af6f4e3f3b737,4,0.0,0.0,4.75,748.64,SP,4_Maintain,0.0,0.0,0.062,0.133,4.216,Low
02c988090b766852e088c69d7fb3b551,16,0.0,0.0,4.688,1770.94,SP,1_Strategic_Partner,0.0,0.0,0.078,0.31,8.151,Low
02d35243ea2e497335cd0f076b45675d,16,37.5,7.22,2.688,6399.95,RN,2_Fix_Immediately,0.375,0.043,0.578,0.31,34.637,Medium
02dcd3e8e25bee036e32512bcf175493,15,33.333,8.529,3.933,1623.49,MG,2_Fix_Immediately,0.333,0.051,0.267,0.301,25.372,Medium
02ecc2a19303f05e59ce133fd923fff7,24,0.0,0.0,4.542,5742.4,SP,1_Strategic_Partner,0.0,0.0,0.115,0.366,10.179,Low
02f5837340d7eb4f653d676c7256523a,30,3.333,8.281,4.833,4463.88,PR,1_Strategic_Partner,0.033,0.049,0.042,0.397,11.133,Low
02f623a8eb246f3c5f7c2f96462654e6,44,9.091,9.211,4.558,7207.63,SP,2_Fix_Immediately,0.091,0.055,0.11,0.451,16.058,Low
0307f7565ff85b299b6e5ef162b1b1a9,6,0.0,0.0,3.5,4968.89,SP,4_Maintain,0.0,0.0,0.375,0.181,13.003,Low
0336182e1b3e92f029d5354832045fdf,2,0.0,0.0,2.0,47.37,SP,4_Maintain,0.0,0.0,0.75,0.059,19.924,Low
034b9387752bfa309f350a70cd45ffa3,8,0.0,0.0,4.5,240.26,SC,1_Strategic_Partner,0.0,0.0,0.125,0.218,7.481,Low
038b75b729c8a9a04b0d07cba7eabe86,2,50.0,5.544,3.5,557.85,SP,3_Monitor,0.5,0.033,0.375,0.059,28.71,Medium
039b29ff3b3473435d0cd59040575de9,9,0.0,0.0,4.444,215.55,SP,1_Strategic_Partner,0.0,0.0,0.139,0.233,8.133,Low
039e6ad9dae79614493083e241147386,5,20.0,11.817,4.0,13273.42,SP,3_Monitor,0.2,0.07,0.25,0.159,17.841,Low
03a2a6dcbe45d639c4dc2a0d24769c40,9,11.111,11.013,4.111,1250.66,SP,2_Fix_Immediately,0.111,0.066,0.222,0.233,15.419,Low
03bd479e1d9484cdb14104d3023f7321,3,33.333,0.962,4.333,417.42,MG,3_Monitor,0.333,0.006,0.167,0.1,17.955,Low
